Timestamp,Job Post Link,Job Title,Job Type,Seniority Level,Posted At,Company Name,Company Website,Salary,Description,Resume Path,Application URL,Relevance Score,Application Status,Notes
2026-02-08T14:35:57.795946,https://fr.linkedin.com/jobs/view/stage-go-to-market-product-intern-at-havas-media-france-4265332688?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=IOtLtnlyWW2753%2FlTrm9pg%3D%3D&position=19&pageNum=1,STAGE - GO TO MARKET PRODUCT INTERN,Full-time,Internship,2025-09-11,Havas Media France,https://havasmedianetwork.com,,,,https://fr.linkedin.com/jobs/view/stage-go-to-market-product-intern-at-havas-media-france-4265332688?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=IOtLtnlyWW2753%2FlTrm9pg%3D%3D&position=19&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:57.800723,https://fr.linkedin.com/jobs/view/strategy-operations-intern-paris-at-sunday-4362605280?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=sVfjHYZo4aen0TtssYg6Uw%3D%3D&position=18&pageNum=1,Strategy & Operations Intern - Paris,Full-time,Internship,2026-01-22,sunday,http://www.sundayapp.com,,,,https://fr.linkedin.com/jobs/view/strategy-operations-intern-paris-at-sunday-4362605280?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=sVfjHYZo4aen0TtssYg6Uw%3D%3D&position=18&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:57.804998,https://fr.linkedin.com/jobs/view/stage-aliad-venture-capital-operations-controller-intern-h-f-at-air-liquide-4361372947?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=V%2F6DvbXlKbYbFyaoC5u2zw%3D%3D&position=13&pageNum=1,Stage - ALIAD - Venture Capital & Operations Controller Intern H/F,Full-time,Internship,2026-02-04,Air Liquide,http://www.airliquide.com,,,,https://fr.linkedin.com/jobs/view/stage-aliad-venture-capital-operations-controller-intern-h-f-at-air-liquide-4361372947?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=V%2F6DvbXlKbYbFyaoC5u2zw%3D%3D&position=13&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:36:01.346272,https://fr.linkedin.com/jobs/view/stage-ai-program-coordination-sbs-paris-at-sbs-4366367552?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=UyWCOWzaZjU7rAwPzE%2FReA%3D%3D&position=17&pageNum=1,Stage - AI Program & Coordination - SBS - Paris,Full-time,Internship,2026-01-27,SBS,http://www.sbs-software.com,,,track\resumes\SBS\Stage_AI_Program_&_Coordination_SBS_Paris\resume_SBS_Stage_AI_Program_&_Coordination_SBS_Paris_2026-02-08.pdf,https://fr.linkedin.com/jobs/view/stage-ai-program-coordination-sbs-paris-at-sbs-4366367552?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=UyWCOWzaZjU7rAwPzE%2FReA%3D%3D&position=17&pageNum=1,7,Applied,Match: AI. Title contains ML/Data keywords: AI
2026-02-08T14:36:05.274334,https://fr.linkedin.com/jobs/view/intern-machine-learning-engineer-recommender-systems-all-genders-at-dailymotion-4359027957?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=gCTLIYZ8REEg0Qkw5mpyDQ%3D%3D&position=12&pageNum=1,Intern Machine Learning Engineer - Recommender Systems (All Genders),Full-time,Internship,2026-01-15,Dailymotion,http://www.dailymotion.com,,,track\resumes\Dailymotion\Intern_Machine_Learning_Engineer_Recommender_Syste\resume_Dailymotion_Intern_Machine_Learning_Engineer_Recommender_Syste_2026-02-08.pdf,https://fr.linkedin.com/jobs/view/intern-machine-learning-engineer-recommender-systems-all-genders-at-dailymotion-4359027957?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=gCTLIYZ8REEg0Qkw5mpyDQ%3D%3D&position=12&pageNum=1,7,Applied,"Match: machine learning, machine learning engineer intern, data scientist intern. Title contains ML/Data keywords: machine learning"
2026-02-08T14:36:05.280712,https://fr.linkedin.com/jobs/view/talent-acquisition-coordinator-internship-at-alice-bob-4369951744?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=uNZR9yroR9f09CxN5gHYJw%3D%3D&position=14&pageNum=1,Talent Acquisition Coordinator - Internship,Internship,Not Applicable,2026-02-06,Alice & Bob,https://alice-bob.com/,,,,https://fr.linkedin.com/jobs/view/talent-acquisition-coordinator-internship-at-alice-bob-4369951744?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=uNZR9yroR9f09CxN5gHYJw%3D%3D&position=14&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:36:05.286663,https://fr.linkedin.com/jobs/view/assistant-chef-de-projet-si-europe-f-h-stage-at-christian-dior-couture-4328665539?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=uU8kcnZDxsB1qIA3Bq2YhQ%3D%3D&position=2&pageNum=0,Assistant Chef de Projet SI Europe F/H - STAGE,Full-time,Internship,2026-02-02,Christian Dior Couture,https://www.dior.com/carrieres/index.html,,,,https://fr.linkedin.com/jobs/view/assistant-chef-de-projet-si-europe-f-h-stage-at-christian-dior-couture-4328665539?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=uU8kcnZDxsB1qIA3Bq2YhQ%3D%3D&position=2&pageNum=0,0,Skipped,Skipped: Job title 'Assistant Chef de Projet SI Europe F/H - STAGE' doesn't match ML/Data keywords
2026-02-08T14:36:05.292242,https://fr.linkedin.com/jobs/view/business-program-management-apprentice-at-microsoft-4365270837?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=HuFaUqkwtL9bXDOeGiPszA%3D%3D&position=16&pageNum=1,Business Program Management Apprentice,Full-time,Not Applicable,2026-01-22,Microsoft,https://news.microsoft.com/,,,,https://fr.linkedin.com/jobs/view/business-program-management-apprentice-at-microsoft-4365270837?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=HuFaUqkwtL9bXDOeGiPszA%3D%3D&position=16&pageNum=1,0,Skipped,Skipped: Job title 'Business Program Management Apprentice' doesn't match ML/Data keywords
2026-02-08T14:36:05.298020,https://fr.linkedin.com/jobs/view/automotive-recruiter-intern-at-mechanics-body-shops-marketplace-4264768443?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=wx9GDqfvjpZ78sQRrfo2UA%3D%3D&position=11&pageNum=1,Automotive Recruiter Intern,Internship,Internship,2025-07-09,Mechanics & Body Shops Marketplace,https://www.mechanicsmarketplace.com,,,,https://fr.linkedin.com/jobs/view/automotive-recruiter-intern-at-mechanics-body-shops-marketplace-4264768443?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=wx9GDqfvjpZ78sQRrfo2UA%3D%3D&position=11&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:36:05.311738,https://fr.linkedin.com/jobs/view/client-experience-retail-assistant-stage-h-f-at-lemaire-4358818219?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=a3EKdmiw9Y%2BrGL8aEZDOYw%3D%3D&position=15&pageNum=1,Client Experience Retail Assistant - Stage (H/F),Internship,Internship,2026-02-04,LEMAIRE,http://www.lemaire.fr/,,,,https://fr.linkedin.com/jobs/view/client-experience-retail-assistant-stage-h-f-at-lemaire-4358818219?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=a3EKdmiw9Y%2BrGL8aEZDOYw%3D%3D&position=15&pageNum=1,0,Skipped,Skipped: Job title 'Client Experience Retail Assistant - Stage (H/F)' doesn't match ML/Data keywords
